1,GALNT1
2,GALNT2
3,GALNT3
4,GALNT4
5,GALNT5
6,GALNT6
7,GALNT7
8,GALNT8
9,GALNT9
10,GALNT10
11,GALNT11
12,GALNT12
13,GALNT13
14,GALNT14
15,ST3GAL1
16,ST3GAL2
17,ST3GAL3
18,ST3GAL4
19,ST3GAL5
20,ST3GAL6
21,ST6GAL1
22,ST6GALNAC1
23,ST6GALNAC2
24,ST8SIA1
25,ST8SIA2
26,ST8SIA3
27,ST8SIA4
28,ST8SIA5
29,B4GALT1
30,B4GALT2
31,B4GALT3
32,B4GALT4
33,B4GALT5
34,B4GALT6
35,B4GALNT1
36,B3GALT4
37,B3GALT5
38,B3GALNT1
39,B3GNT2
40,B3GNT3
41,B3GNT4
42,B3GNT5
43,B3GNT6
44,B3GNT7
45,B3GNT8
46,B3GNT9
47,FUT1
48,FUT2
49,FUT3
50,FUT4
51,FUT5
52,FUT6
53,FUT7
54,FUT8
55,FUT9
56,FUT10
57,FUT11
58,MGAT3
59,MGAT4A
60,MGAT4B
61,MGAT5
62,MGAT5B
63,GCNT1
64,GCNT2
65,GCNT3
66,GCNT4
67,GCNT7
68,UGCG
69,A4GALT
70,C1GALT1C1
71,C1GALT1
