X.Sample.Identifier,ANLN,FOXC1,CDH3,UBE2T,NDC80,PGR,BIRC5,ORC6,ESR1,PHGDH,CDC6,MMP11,MYBL2,SFRP1,CCNE1,BLVRA,BAG1,MLPH,CDC20,CENPF,KRT17,FOXA1,ACTR3B,CCNB1,MDM2,MYC,CEP55,SLC39A6,ERBB2,GRB7,KIF2C,NUF2,EGFR,MKI67,TMEM45B,FGFR4,PTTG1,MELK,NAT1,CXXC5,BCL2,RRM2,GPR160,EXO1,UBE2C,TYMS,KRT5,KRT14,MAPT,MIA
MBC.MBCProject_P2CMUEiX.Tumor.SM.DL3GB,38.5,1.33,23.8,2.79,3.79,0.33,9.34,10.9,7.29,27.89,5.72,265.67,35.74,0.4,7.05,26.27,35.1,565.11,11.9,45.55,49.03,44.41,4.87,18.02,112.45,12.39,6.89,17.4,693.47,117.31,12.1,5.27,7.89,26.93,5.21,14.72,20.08,12.89,0.51,21.03,5.29,31.59,2.89,8.92,14.47,10.33,1.47,2.56,1.03,0.32
MBC.MBCProject_Y7iLIOU0.Tumor.SM.GQBY8,13.05,3.91,27.83,1.84,4.02,14.22,2.47,4.05,82.69,16.29,9.81,28.13,4.57,5.97,1.35,31.7,73.55,725.04,4.42,21.97,41.67,53,10.66,7.29,140.18,13.4,2.95,174.76,64.81,6.08,4.23,4,19.68,13.14,0.94,2.7,4.68,3.73,78.38,11.52,15.69,12.46,5.74,3.95,6.97,6.84,65.87,49.9,22.12,7.33
MBC.MBCProject_Y7iLIOU0.Tumor.SM.GQ9VX,17.97,6.25,34.81,1.99,4.85,12.21,1.74,4.17,57.83,26.46,7.58,39.44,6,17.2,1.53,33.27,53.02,502.83,3.98,29.37,50.02,45.49,10.25,9.76,165.05,17.29,3.72,155.57,64.47,8.71,5.5,5.4,29.75,16.61,1.24,2.69,7.79,5.22,60.11,10.1,13.23,16.55,4.47,4.73,6.62,9.69,82.13,77.76,30.17,12.66
MBC.MBCProject_XmiOUMSm.Tumor.SM.DL3SV,18.02,4.23,28.08,4.84,2.94,3.56,2.39,5.19,13.71,19.72,4.53,24.7,6.41,7.01,2.99,42.01,19.14,210.19,4.06,9.64,101.57,22.16,6.87,4.84,140.52,21.54,4.57,45.3,52.01,14.55,5.01,5.96,18.26,8.26,2.48,2.6,9.88,5.89,2.49,3.97,6.35,21.89,17.01,3.72,10.48,7.33,145.08,82.99,3.16,5.17
MBC.MBCProject_KGs1fxH2.Tumor.SM.CGM1H,0.04,13.71,1.88,0.41,0,5.76,0.54,0,19.44,13.13,0.2,13.68,0.81,8.92,0,62.61,30.69,16.45,5.81,2.79,20.93,0.72,2.2,18.8,197.72,17.42,0,15.59,22.53,4.73,1.53,0.81,12.26,0.52,0,0,4.83,3.67,1.81,2.95,16.18,24.15,0.39,1.5,6.22,2.89,25.71,8.95,1.62,0
MBC.MBCProject_KGs1fxH2.Tumor.SM.CGMCS,91.22,3.52,14.55,15.64,6.49,8.19,6.85,6.37,26.79,9.26,9.64,82.38,4.12,0.67,2.88,88.4,18.9,351.72,8.97,52.04,66.99,44.14,3.44,15.63,222.15,13.23,10.54,28.13,82.53,18.82,6.05,9.22,5.44,19.78,13.02,5.09,28.6,8.3,12.34,11.17,4.46,53.81,7.4,4.15,35.74,10.42,16.9,5.26,2.16,3.34
MBC.MBCProject_KGs1fxH2.Tumor.SM.CGLUT,48.17,4.53,22.9,5.9,6.49,14.91,7.22,3.68,17.53,7.54,3.23,151.79,3.81,1.56,2.67,105.59,16.57,313.72,3.02,21.97,173.33,32.33,2.84,11.22,218.11,19.09,7.02,24.41,82.64,9.89,4.19,10.94,7.25,13.08,6.11,3.95,21.25,7,7.04,9.38,3.09,27.81,9.08,1.19,15.26,6.17,46.78,11.99,4.66,3.68
MBC.MBCProject_3MUnT7Ty.Tumor.SM.CGLLE,11.4,1.41,18.05,3.01,2.2,26.42,0.57,1.83,119.42,6.54,2.17,42.76,3.09,2.57,0.53,25.61,65.64,1077.2,2.18,11.63,49.36,161.77,13.95,3.31,685.89,13.63,3.43,100.64,91.14,30.46,1.05,16.21,8.36,7.17,3.7,9.87,4.73,4.16,20.1,11.76,34.43,5.28,16.99,4.31,0.24,4.08,24.46,19.31,99.58,9.6
MBC.MBCProject_BVCVuGhl.Tumor.SM.DL4DD,2.4,0.99,3.19,1.24,1,34.31,0.83,2.16,75.01,1.86,1.14,283.27,1.55,0.34,0.74,24.16,12.36,196.79,1.37,2.55,1.24,64.37,7.71,3.72,72.64,8.64,0.66,45.82,77.82,14.45,1.47,0.73,4.73,2.06,4.65,0.44,3.39,1.24,52.77,13.71,22.85,5.34,6.53,1.11,2.05,4.9,2.22,1.5,42.52,0.08
MBC.MBCProject_d5CbUNTb.Tumor.SM.CGM5V,96.06,21.6,30.15,5.28,14.73,0.78,9.99,17.69,2.61,7.86,3.93,29.31,8.11,16.38,6.36,29.44,32.19,46.28,2.4,99.82,24.68,0,10.86,20.2,295.44,18.56,13.84,11.75,104.33,5.41,16.55,18.07,8.49,21.98,0,0,21.57,76.69,0,2.36,0.59,22.94,19.15,32.29,4.6,21.9,6.39,1.61,4.75,16.99
MBC.MBCProject_d5CbUNTb.Tumor.SM.CGLSX,101.89,19.67,16.09,26.82,16.72,0.23,11.41,12.11,1.09,8.8,9.83,144.88,7.82,12.55,4.56,20.44,34.86,9.81,12.59,57.79,5.73,0,15.96,13.47,110.24,60.78,8.06,11.35,56.51,13.64,14.45,20,9.53,14.34,0.27,1.78,48.04,29.62,0.71,2.83,0.74,60.73,10.38,15.49,13.54,19.82,21.73,16.53,8.79,5.01
