X.Sample.Identifier,ANLN,FOXC1,CDH3,UBE2T,NDC80,PGR,BIRC5,ORC6,ESR1,PHGDH,CDC6,MMP11,MYBL2,SFRP1,CCNE1,BLVRA,BAG1,MLPH,CDC20,CENPF,KRT17,FOXA1,ACTR3B,CCNB1,MDM2,MYC,CEP55,SLC39A6,ERBB2,GRB7,KIF2C,NUF2,EGFR,MKI67,TMEM45B,FGFR4,PTTG1,MELK,NAT1,CXXC5,BCL2,RRM2,GPR160,EXO1,UBE2C,TYMS,KRT5,KRT14,MAPT,MIA
MBC.MBCProject_nkU3hDhB.Tumor.SM.GQA38,4.6,3.72,25.05,1.21,1.08,51.31,4.68,1.84,41.79,16.2,2.64,28.09,1.54,6.87,0.9,37.96,24.56,432.73,1.64,5.72,190.3,42.3,8.09,2.74,126.96,57.4,1.43,47.06,108.01,12.05,1.8,1.8,42.12,2.53,9.48,7.06,3.17,1.92,5.81,7.8,8.4,5.03,6.83,1,2.8,4.06,149.28,113.4,26.54,5.5
MBC.MBCProject_nkU3hDhB.Tumor.SM.GQC49,7.91,2.45,11.32,4.37,1.96,45.22,3.83,1.17,94.65,12.17,4.49,41.01,2.22,5.19,0.23,45.86,28.6,504.38,2.93,19.41,33.3,65.26,7.56,8.87,150.68,11.21,2.85,28.09,62.83,8.4,3.5,2.42,16.36,4.45,3.94,1.46,8.52,3.39,33.24,12.98,8.19,6.8,12.3,3.73,3.98,4.44,51.59,29.23,80.09,4.29
MBC.MBCProject_beTYUZij.Tumor.SM.GQBWY,16.71,1.82,17.55,12.07,6.25,6.04,2.44,29,21.53,2.4,2.21,183,18.34,0.04,1.38,44.01,21.59,544.39,5.79,31.05,5.78,70.65,10.28,17.67,205.44,5.48,8.65,18.81,56.15,9.6,7.34,20.53,5.3,19.04,5.08,17.72,17.55,17.65,71.19,9.9,19.39,39.94,24.89,10.45,40.39,8.96,2.76,0.9,17.96,0.83
MBC.MBCProject_JpCASlSG.Tumor.SM.GQC7E,5.14,4.31,16.32,2.12,1.33,1.3,1.74,2.9,7.64,28.3,2.02,13.21,2.65,6.38,1.87,32.78,15.07,138.68,1.68,5.6,33,17.08,5.32,2.92,148.13,28.8,1.31,16.95,109.34,12.79,2.74,1.07,28.77,2.95,4.61,5.65,6.08,1.73,3.03,11.02,8.5,10.53,9.73,1.53,2.48,2.78,46.94,19.49,5.69,3.41
MBC.MBCProject_mMhdcrh5.Tumor.SM.GQ9YG,11.84,1.25,5.86,6.35,1.62,12.94,3.21,3.66,244.61,13.88,3.63,212.39,3.07,2.14,1.07,97.39,41.99,341.85,3.5,11.69,34.3,39.9,5.74,4.74,160.3,10.67,1.36,65.42,73.4,14.45,7.18,4.95,3.99,1.02,0,6.55,8.92,2.09,38.17,7.41,18.55,43.75,4.01,3.02,10.68,4.09,13.59,12.87,34.32,1.49
MBC.MBCProject_NzHBsOtg.Tumor.SM.GQBL1,6.56,0.16,6.75,9.38,2.7,35.45,5.49,3.98,211.52,32.96,4.14,380.63,5.14,3.47,0.95,108.52,79.21,834.13,3.18,35.51,46.1,82.2,6.99,6.6,115.78,19.18,1.97,193.31,166.19,26.87,7.11,5.05,11.85,8.18,0.21,12.28,15.67,3.34,78.43,45.99,47.21,25.3,2.96,2.57,4.85,5.8,44.13,11.5,27.82,4.67
MBC.MBCProject_EkHAIECZ.Tumor.SM.GQ9OE,75.17,1.54,22.25,23.94,4.91,7.21,7.42,10.59,43.22,3.16,10.98,21.9,7.69,4.07,3.4,58.86,16.17,619.27,17.21,83.06,34.83,53.56,6.06,45.22,322.74,13.43,6.98,208.11,64.89,7.7,8.2,16.93,14.87,22.67,0.79,3.35,32.92,13.47,17,11.11,12.27,53.37,13.14,14.5,40.17,19.89,61.56,29.05,3.78,7.25
MBC.MBCProject_W4FBsLSx.Tumor.SM.GQA6D,51.85,1.46,25.14,11.29,7.04,1.69,8.66,17.94,147.24,9.38,19.65,58.97,30.61,0,3.07,79.37,28.37,905.89,9.85,26.4,0.67,36.16,11.24,17.78,196.71,20.92,7.07,44.59,157.77,32.05,8.33,8.67,5.46,19.24,1.59,19.98,23.42,7.84,2.15,23.77,3.68,41.24,7.29,9.21,42.26,8.85,0.36,0.18,12.17,1.52
MBC.MBCProject_W4FBsLSx.Tumor.SM.GQ9LV,38.3,0.59,43.56,12.13,6.16,4.64,8.48,14.73,55.59,11.84,16.31,27.9,32.04,0.08,2.2,81.01,31.44,563.28,12.3,22.04,0.23,41.9,6.31,17.52,138.15,15.02,4.15,39.51,197.84,33.76,7.86,7.28,2.62,16.24,0.55,26.15,21.69,8.05,3.65,31.11,2.29,73.93,4.61,6.09,43.55,10.35,0.34,0.04,28.02,0.13
MBC.MBCProject_W4FBsLSx.Tumor.SM.GQ9QW,52,0.71,20.41,22.82,7.07,0.52,18.02,14.66,294.58,19.12,34.75,15.33,40.62,0.04,4.17,103.98,23.9,776.56,12.92,28.53,0.38,59.33,10.57,22.29,138.18,44.58,7.88,40.67,146.18,32.36,11.63,9.21,2.32,22.52,2.54,17.42,35.34,10.71,7.68,38.38,1.45,65.97,4.38,11.01,55.29,15.2,0.37,0.23,28.92,0.27
MBC.MBCProject_6vTVHzur.Tumor.SM.GQCG7,33.71,2.35,11.34,4.45,5.95,1.74,5.95,10.3,9.32,15.4,3.8,17.94,15.22,4.24,3.51,36.12,22.32,1223.7,12.11,19.3,22.01,71.48,9.17,15.03,212.86,10.88,3.11,19.03,95.79,17.96,6.04,5.47,28.94,15.77,7.69,92.75,17.68,5.88,4.02,10.16,5.82,41.85,13.9,7.16,21.47,7.86,24.93,13.62,22.7,5.26
MBC.MBCProject_6vTVHzur.Tumor.SM.GQCQV,32.55,3.53,7.82,7.38,5.7,1.85,3.62,5.1,3.17,20.59,5.53,4.32,10.49,3.39,5.34,38.61,31.03,171.73,8.74,13.5,30.63,23.84,8.87,11.59,256.97,19.57,4.98,26.77,46.33,5.42,5.23,6.36,44.22,16.11,4.24,22.47,31.31,7.13,1.3,3.98,3.84,70.72,15.47,14.22,16.64,9.66,583.26,269.2,11.81,1.38
MBC.MBCProject_0aTBfPcG.Tumor.SM.DL3W1,16.26,2.3,10.84,5.92,3.84,1.83,3.71,4.78,18.33,2.5,3.37,18.87,4.6,0.71,1.22,25.62,35.46,363.73,1.7,26.31,9.4,28.98,7.94,7.81,143.43,48.98,2.82,111.79,63.81,12.28,2.1,3.99,10.74,11.9,1.44,4.69,7.73,3.64,12.91,14.23,16.28,12.6,4.21,6.41,8.11,6.29,80.53,25.49,11.49,1.78
MBC.MBCProject_JGcLUJiA.Tumor.SM.GQBDH,13.75,3.02,21.83,9.31,2.6,14.39,3.77,3.13,79.1,2.54,4.91,29.66,4.75,0.44,0.97,64.84,23.17,842.76,3.9,19.31,0.61,49.73,9.21,12.03,190.76,15.48,2.85,161.05,89.9,13.72,3.94,3.63,8.19,6.92,3.42,11.04,14.13,3.89,96.67,39.16,2.63,16.76,3.76,2.87,13.88,6.55,0.49,0.1,18.67,0.33
MBC.MBCProject_JGcLUJiA.Tumor.SM.GQAF6,4.6,1.1,29.86,4.25,1.26,2.39,1.86,1.93,129.45,1.82,1.98,34.53,1.33,0.16,0.31,61.61,12.05,1099.1,1.82,10.2,0.23,79.44,7.17,4.61,143.93,6.76,1.34,83,105.08,17.42,2.24,1.68,2.73,2.62,2.98,21.8,4.6,1.78,165.18,32.87,2.23,6.39,5.36,1.06,4.78,3.8,0.21,0.03,5.05,0.5
MBC.MBCProject_JGcLUJiA.Tumor.SM.GQAYN,7.91,2.48,40.69,4.11,3.05,1.97,3.16,2.55,11.44,8.32,3.09,0.66,5.47,0.1,1.61,84.18,19.95,529.19,3.02,10.76,0.34,55.78,6.01,6.98,194.55,22.71,5,26.1,43.39,28.16,3.31,2.92,6.55,8.24,3.22,1.88,9.03,3.08,21.96,37.19,7.3,18.75,6.47,2.38,7.51,7.06,8.71,0.57,5.19,0.15
MBC.MBCProject_e4SaTnIW.Tumor.SM.GQC6R,3.76,2.46,77.35,0.43,0.92,22.32,1.74,0.18,49.41,26.17,1.09,6.35,0.93,4.5,3.24,49.7,23.99,556.32,4.68,7.46,0,18.52,8.56,4,146.75,10.36,0.19,28.61,41.63,8.33,0.7,5.72,20.72,1.49,0.58,30.01,8.02,2.5,38.64,10.74,10.86,3.88,1.43,0.68,0.69,1.88,0,0,6.7,3.9
MBC.MBCProject_5vTpUpCv.Tumor.SM.GQA4H,2.32,4.13,12.6,1.17,1.11,6.38,1.13,0.6,58.18,28.62,0.4,8.01,0.16,9.69,0.75,26.73,18.75,1198.7,0.55,2.99,29.79,89.46,10.08,4.65,165.29,14.89,0.14,45.59,88.3,8.07,0.87,1.95,26.33,0.38,2.38,1.16,3.32,0.39,7.27,6.6,7.27,0.23,21.78,0.24,0.2,2.21,63.55,56.04,20.64,5.5
MBC.MBCProject_Ali6SAHL.Tumor.SM.GQAH2,23.24,4.81,19.49,13.06,6.34,27.81,6.5,4.88,46.69,2.02,4.09,19.39,31.38,0.27,1.02,43.33,21.52,168.38,10.82,42.08,14.93,55.26,8.17,10.51,122.74,15.98,9.68,28.87,44.4,7.81,8.95,12.73,7.15,16.45,8.17,3.09,20.61,7.49,4.82,7.72,16.38,16.44,7.27,5.51,27.76,12.65,0.98,0.11,2.74,3.54
MBC.MBCProject_XVHkUVTb.Tumor.SM.GQCLU,17.75,2.49,6.34,8.53,5.95,2.23,4.59,1.7,57.9,23.92,4.39,4.2,4.87,2.1,1.28,22.46,18.63,940.59,3.53,38.02,0.22,63.92,5.75,11.08,146.94,26.54,4.62,126.47,75.14,17.99,3.71,4.67,11.7,16.15,2.89,7.24,21.51,6.04,37.4,8.91,9.76,28.72,8.71,6.05,17.82,9.52,1.51,0.27,13.93,0.55
MBC.MBCProject_7wCjtKIW.Tumor.SM.GQCN4,40.4,0.37,4.72,15.33,5.47,0.38,4.9,8.19,7.31,15.05,10.83,18.82,16.36,0.17,3.69,35.53,36.65,844.65,10.96,70.62,2.26,133.25,5.47,29.51,203.87,0.77,8.17,15.94,121.52,18.9,18.15,17.08,1.07,25.72,2.91,10.96,41.68,19.42,9.45,3.83,1.56,80.6,81.25,33.22,44.17,6.82,0.69,2.4,2.61,0.33
MBC.MBCProject_9RtxtGUO.Tumor.SM.GQC4V,28.82,0.96,15.68,8.12,7.87,51.03,10.84,6.62,108.78,8.94,6.67,92.37,8.18,0.11,1.93,131.37,69.92,781.13,22.18,57.84,3.87,87.9,3.58,23.02,126.82,21.22,6.58,95.96,90.1,27.48,13.41,8.64,1.96,18.13,1.6,2.14,37.49,8.54,39.87,17.23,23.76,63.81,4.91,6.28,21.39,26.29,4.08,1.74,61.93,0.5
MBC.MBCProject_mrIQIdsx.Tumor.SM.GQ9JZ,13.58,1.09,4.72,0,1.57,0,0,0,4.16,4.27,2.76,0.35,1.9,0,1.05,27.19,14.57,113.78,2.73,4.08,0.43,2.98,4.56,0.18,55.97,6.97,0.02,13.59,982.5,360.96,0.86,0.11,5.82,0.55,2.01,0.54,1.17,1.53,0.79,2.98,7.54,4.86,1.12,0,0,0,8.76,0.28,1.28,0.26
MBC.MBCProject_mrIQIdsx.Tumor.SM.GQC5I,8.43,2.93,42.05,7.84,2.59,0.45,1.98,3.53,1.98,26.76,4.04,8.99,9.64,0.15,1.93,62.17,18.89,331.11,6.56,12.3,0.3,39.83,4.79,8.37,145.89,26.25,6.19,30.93,2382.8,477.27,4.13,2.94,7.43,6.92,10.92,6.05,12.5,8.06,12.75,7.16,1.87,23.24,10.32,2.72,10.43,4.34,0.13,0.03,24.57,0.69
MBC.MBCProject_LPHKFauY.Tumor.SM.GQCCF,22.22,3.57,4.81,14.51,3.87,3.07,5.77,8.81,204.05,4.87,6.28,8.67,14.68,1.78,2.82,62.52,35.17,437.35,7.91,29.65,0.37,85.2,6.64,12.34,168.39,24.66,7.87,151.47,122.13,19.13,6.72,7.72,8.23,15.91,1,55.22,15.7,8.5,81.29,25.56,8.38,21.56,8.43,5.67,19.75,9.18,0.11,0.04,10.74,1.32
MBC.MBCProject_8bfWIQu1.Tumor.SM.GQC81,147.26,15.83,99.18,33.91,54.93,0.1,58.68,31.72,1.92,191.93,29.38,6.69,30.65,3.42,19.86,48.56,25,29.69,87.5,196.52,46.59,8.68,15.34,78.74,121.19,39.98,23.03,24.46,34.43,17.57,60.14,52.18,63.46,165.93,0.83,3.2,167.51,41.99,2.7,6.37,15.99,109.54,1.97,30.92,60.79,91.75,19.52,1.43,5.96,6.09
MBC.MBCProject_8bfWIQu1.Tumor.SM.GQCD2,54.89,21.24,53.39,13.04,21.67,18.18,17.91,21.35,5.55,31.89,4.82,57.53,9.67,19.03,6.57,28.62,40,53.72,13.22,115.49,73.51,9.03,14.88,17.82,218.49,35.84,20.34,57.84,30.26,10.54,11.03,16.58,49.95,61.97,0.18,1.99,46.05,27.12,2.66,2.85,9.51,30.74,4.48,25.27,16.42,28.75,122.11,44.23,9.11,20.78
MBC.MBCProject_B7f5hRfD.Tumor.SM.GQACN,20.71,1.58,4.75,7.57,4.77,28.6,7.43,6.96,346.01,4.23,12.69,168.42,20.13,0.16,1.82,39.6,19.8,628.12,6.92,31.09,6.26,101.68,9.89,14.13,227.46,14.11,6.34,425.98,123.62,27.4,7.99,6.96,3.78,24.07,3.89,1.14,18.24,6.73,23.19,37.52,17.68,46.27,6.52,6.68,25.38,19.66,4.33,2.52,42.59,1.32
MBC.MBCProject_B7f5hRfD.Tumor.SM.GQ9XT,9.9,1.64,2.98,7.06,2.84,31.68,13.21,4.1,197.89,8.54,5.04,92.22,11.7,0.76,4.66,92.36,39.73,370.95,7.72,19.65,7.76,80.81,2.77,16.53,264.97,21.21,4.97,377.16,109.89,29.76,8.97,9.46,6.84,7.95,2.39,0.74,42.16,7.45,31.79,20.15,11.66,30.15,13.65,6.34,25.83,11.83,2.3,5.65,58.47,0
MBC.MBCProject_MlheH1iY.Tumor.SM.GQD2K,18.73,1.32,7.32,14.54,9.47,45.07,3.31,5.1,84.11,6.25,24.72,287.73,9.21,0.47,2.31,78.04,15.61,961.79,8.46,36.34,13.39,74.77,4.9,23.19,154.42,13.82,5.74,157.95,1016.1,136.75,7.44,7.86,7.65,13,0.41,0.62,35.21,9.3,166.09,12.58,10.09,21.33,6.35,8.27,22.09,8.66,14.35,8.03,29.19,1.62
MBC.MBCProject_wzCxuoio.Tumor.SM.GQCHG,17.94,42.61,3.31,6.42,5.06,0.7,1.67,4.41,2.64,31.51,3.17,8.07,4.22,6.52,0.76,18.75,16.22,5.8,4.24,21.25,514.97,0.62,19.55,6.37,80.88,23.65,3.09,19.54,58.9,12.09,6.12,5.48,24.86,9.38,0.38,0.25,21.92,8.25,0.43,2.29,3.34,26.83,3.6,3.73,6.94,5.06,73.9,22.74,4.58,20.11
MBC.MBCProject_oNI6SXtq.Tumor.SM.GQC8N,34.48,1.91,15.79,15.09,30.3,1.57,13.39,5.49,40.8,23.81,18.29,50.34,21.37,0.74,6.12,36.52,20.93,154.18,13.58,62.2,151.93,66.26,12,38.06,196.14,24.19,9.74,22.14,117.78,23.21,12.8,12.86,6.35,25.31,2.48,0.95,81.85,21.84,4.16,7.36,3.18,57.04,10.02,11.72,41.65,44.58,16.25,9.84,1.37,3.67
MBC.MBCProject_briXiduE.Tumor.SM.DL49L,2.64,1.97,8.76,2.34,0.87,2.34,0.76,0.93,59.71,8.69,1.83,27.85,1.49,2.54,0.54,35.53,13.33,498.27,1.39,3.85,9.44,42.87,3.63,2.44,98.29,14.6,0.72,35.87,43.69,4.43,1.29,0.78,15.4,3.05,5.13,24.14,3.54,1.36,27.56,6.09,5.86,7.51,4.88,1.3,2.19,3.14,15.06,7.84,20.47,1.22
MBC.MBCProject_k4hlFwFg.Tumor.SM.GQA9I,6.8,4.91,12.33,2.68,1.2,11.47,2.34,0.99,348.02,28.64,34.23,16.03,5.36,7.2,1.84,19.87,25.22,1048.6,4.15,9.28,113.03,93.84,51.89,12.88,151.74,17.72,1.49,41.91,91.47,29.13,2.92,2.87,58.46,6.6,2.9,12.62,12.7,4.6,159.09,23.63,7.56,2.79,18.65,30.19,16.75,8.55,149.12,139.43,67.31,1.91
MBC.MBCProject_xlhkS5CG.Tumor.SM.GQ9ZP,2.97,1.16,1.47,1.08,1.06,37.56,0.61,1.28,19.29,2.84,1.87,24.84,0.53,0.74,0.32,23.49,13.27,318.36,0.77,2.28,0.5,30.2,5.83,2.62,116.69,10.43,0.82,109.83,27.08,6.8,1.11,0.78,6.35,3.81,0.34,0.28,5.31,1.14,43.1,2.12,3.52,4.06,8.76,0.71,1.32,2.37,1.37,0.71,39.09,0.13
MBC.MBCProject_DximH6Cn.Tumor.SM.DL3XW,15.1,3.69,110.3,6.49,2.95,1.01,1.74,12.37,8.24,44.22,8.46,25.45,2.26,0.92,1.9,77.97,14.66,227.63,4.09,4.15,18.7,26.8,5.21,6.3,109.62,17.33,1.87,30.25,46.93,6.72,3.34,1.6,17.3,2.1,4.11,2.1,4.47,3.64,4.68,7.02,4.52,6.71,4.06,1.11,7.74,1.81,14.25,8.18,25.48,0.88
MBC.MBCProject_gASyuQSl.Tumor.SM.GQAQH,9.99,3.33,9.63,0.67,2.18,7.11,0.27,6.29,113.53,1.42,3.27,76.95,0.99,0.48,4.3,31.25,20.56,2765.1,2.47,10.15,1.7,106.65,5.31,13.12,179.77,2.37,0.94,172.17,71.33,11,3.1,0.83,2.01,4.6,2.44,1.15,9.92,2.55,13.18,13.64,13.32,9.51,10.21,2.9,4.5,6.71,11.48,1.65,15.99,0.36
MBC.MBCProject_gASyuQSl.Tumor.SM.GQ9KM,13.92,0.6,3.99,1.76,1.15,11.64,0.38,0.79,32.78,6.86,2.22,15.35,1.08,2,1.17,34.53,18.97,938.04,1.69,4.56,6.66,63.21,8.13,7.49,142.05,3.87,0.49,38.74,58.34,9.42,2.05,0.9,10.65,1.8,4.62,0.87,3.76,1.97,16.96,5.4,6.62,2.03,12.28,1.4,1.97,1.7,6.41,5.7,3.8,4.36
MBC.MBCProject_gASyuQSl.Tumor.SM.GQA3U,5.08,0.94,1.35,4.8,2.94,12.16,0.38,1.42,45.84,5.72,5.62,3.73,2.62,0.05,1.41,25.6,15.11,810.47,0.98,7.19,18.46,56.55,11.85,3.57,147.16,1.21,1.02,61.27,60.18,12.09,5.18,1.16,5.03,2.81,1.23,0.3,6.27,3.05,24.44,5.21,7.28,1.74,25.4,1.95,2.71,1.99,0.09,2.11,7.83,0.37
MBC.MBCProject_W2CQswiv.Tumor.SM.GQCPM,7.09,3.4,16.24,3.49,2.89,26.52,3.02,2.12,83.2,10.93,2.15,46.14,4.16,3.32,1.78,44.9,27.71,777.79,4.15,12.71,51.91,75.31,9.09,13.04,191.29,31.91,3.59,131.1,60.61,8.52,3.92,3.98,20.01,9.22,1.31,1.28,8.92,3.87,66.33,24.21,16.72,20.68,7.84,2.05,8.57,7.25,40.25,17.6,32.16,5.12
MBC.MBCProject_6JhKimhv.Tumor.SM.GQCJC,17.86,1.88,7.95,14.13,5.04,10.82,4.4,4.52,106.87,6.91,12.98,133.78,12.52,0.99,0.83,53.74,19.99,411.43,9.05,34.63,14.31,82.69,8.66,19.61,222.75,20.54,7.11,161.22,35.23,7.85,15.47,8.35,11.57,15.22,2.05,1.33,22.5,9.98,85.69,9.49,6.13,35.98,32.74,9.12,28.26,7.74,18.39,6.6,21.96,1.32
MBC.MBCProject_m1fOs2FL.Tumor.SM.GQA54,28.67,2.98,23.1,12.25,5.66,74.05,9.11,7.53,99.59,34.21,4.12,119.94,35.84,3.99,2.21,62.42,38.28,118.96,14.61,26.99,46.39,65.55,5.73,14.12,267.17,21.55,10.67,73.22,83.5,10.6,13,23.04,9.55,25.01,3.24,1.81,41.68,14.43,99.01,3.01,5.71,98.52,5.89,20.73,36.28,11.09,68.17,56.02,61.46,3.38
MBC.MBCProject_QJFdf8hQ.Tumor.SM.GQCJY,99.87,14.77,53.89,21.68,10.85,0.67,13.15,23.02,3.24,32.84,16.71,3.04,65.87,3.06,73.64,75.85,26.44,91.7,41.73,53.04,29.04,89.56,10.44,33.12,163.91,12.76,18.42,16.75,81.16,17.04,15.65,33.44,16.67,29.78,3.77,0.84,45.17,10.95,3.16,7.56,2.78,54.16,18.69,8.27,96.29,8.62,38.46,29.92,1.96,1.42
MBC.MBCProject_ygcMFgCR.Tumor.SM.GQ9S6,43.2,5.24,54.05,18.46,6.36,0.62,6.58,6.33,68.29,7.72,11.74,425.84,38.21,0.41,3.8,58.01,29.55,190.43,10.84,53.71,134.52,66.08,8.83,16.24,179.68,16.04,7.96,227.13,87.96,19.57,9.11,12.99,15.75,26.95,0.29,3.61,19.37,10.67,4.27,22.01,2.81,59.77,4.75,7.13,30.57,8.83,68.72,41.02,10.82,3.34
MBC.MBCProject_ygcMFgCR.Tumor.SM.GQAIX,36.51,1.2,10.76,16.84,6.28,0.93,8.16,11.2,118.83,3.47,8.93,83.53,34.38,0.47,4.09,75.18,24.06,317.41,12.44,61.73,2.21,90.22,8.01,26.88,680.88,22.3,13.41,90.68,102.03,20.94,12.43,19.82,8.83,32.28,0.92,14.65,19.14,15.43,2.51,11.73,4.79,69.72,15.39,9.79,46.42,9.41,1.95,2.19,18.91,0.59
MBC.MBCProject_ygcMFgCR.Tumor.SM.GQ9MI,38.26,1.16,12.43,18.33,5.84,1.28,8.66,12.36,122.03,2.69,12.36,121.47,32.7,0.26,3.86,89.05,19.94,290.36,13.98,55.79,0.83,110.57,6.96,21.41,726.03,20.15,8.2,87.38,110.13,31,12.39,16.23,11.97,21.55,1.76,18.99,19.01,18.16,14.96,12.85,6.62,74.69,11.25,12.67,46.14,10.7,1,0.32,28.18,0.3
MBC.MBCProject_5gHasou8.Tumor.SM.GQA1C,26.37,1.37,10.99,14.08,11.21,7.12,9.4,5.62,105.91,5.19,19.47,127.12,22.11,0.5,2.09,55.65,16.38,933.53,5.39,52.74,21.72,63.39,9.92,23.99,465.41,19.44,7.75,745.12,95.41,13.87,12.04,9.59,5.69,32.62,0.3,1.42,18.52,8.75,25.08,23.89,5.78,36.54,19.24,20.52,21.72,19.68,14.59,7.79,105.76,2.8
MBC.MBCProject_5gHasou8.Tumor.SM.GQBYU,15.26,2.28,9.32,20.63,5.54,11.16,19.51,2.78,63.69,5.54,9.26,44.28,24.99,1.29,1.88,80.35,20.71,1060.6,9.24,37.18,25.17,59.07,7.99,20.62,729.15,27.1,6.68,628.03,144,26.46,9.5,11,12.56,13.9,0.34,2.22,37.3,8.11,16.42,15.98,14.79,36.09,12.48,6.83,26.27,17.43,27.48,14.25,89.75,2.07
MBC.MBCProject_DWTkcWCW.Tumor.SM.GQB7T,18.36,1.82,22.59,6.73,2.96,49.91,3.6,3.37,122.79,7.13,7.51,70.47,4.48,0.62,1.04,29.53,21.44,213.75,5.65,27.76,67.57,55.86,6.61,9.64,100.07,8.5,4.56,267.66,51.19,6.92,5.93,5.52,14.08,12.92,2.63,0.5,18.4,5.7,25.09,10.46,5.64,24.08,8.06,6.97,8.81,5.38,267.99,164.54,59.78,0
MBC.MBCProject_ZeTySaU3.Tumor.SM.GQD3T,28.32,3.8,13.56,26.7,16.11,34.96,8.38,10.79,67.08,11.34,18.91,30.59,39.9,1.95,2.01,53.04,23.11,1089.6,21.75,51.7,44.15,41.23,21.03,19.94,145.01,78.26,8.38,84.41,110.9,27.99,15.53,19.21,16.67,30.97,3.35,0.62,49.55,17.43,30.64,15.18,13.01,86.31,5.15,14.94,51.79,26.51,58.15,28.54,75.05,18.86
MBC.MBCProject_qQSACYuv.Tumor.SM.GQBFZ,39.85,0.54,24.46,8.67,2.11,6.34,3.95,3.34,51.33,9.62,9.2,135.45,8.17,0.12,2.72,87.72,18.39,868.69,3.98,25.49,2.74,79.22,5,12.88,187.87,9.74,4.76,26.38,107.38,14.94,2.79,4.16,6.24,12.18,3.17,8.17,15.9,3.68,38.97,22.43,1.43,24.86,5.82,5.28,11.45,4.94,0.72,0.7,25.38,0.18
MBC.MBCProject_oZT8clio.Tumor.SM.GQCVW,23.65,2.17,59.65,21.39,4.03,1.27,6.06,7.97,3.6,19.23,7.43,272.95,18.15,0.43,3.39,64.32,11.32,778.75,10.55,44.9,42.14,95.59,9.25,38.39,114.93,12.22,6.49,21.32,2014.4,257.42,32.08,10.84,25.03,32.81,13.08,36.82,47.91,8.67,4.84,9.2,3.83,62.54,26.3,13.27,46,9.16,15.53,7.21,1.88,0.64
MBC.MBCProject_lJflt3UR.Tumor.SM.GQAEJ,34.49,0.6,0.67,4.83,4.88,10.02,3.87,5.84,443.73,13.09,6.46,173.29,5.64,0.16,3.13,85.24,26.84,368.06,9.27,33.56,1.02,97.15,5.55,20.59,147.95,20.17,3.2,94.99,107.65,12.03,6.48,11.2,1.94,13.48,1.15,1.01,11.8,5.35,122.22,10.71,16.85,34.54,7.33,8.3,6.54,9.64,1.42,0.61,49.91,1.81
