".id","GALNT1","GALNT2","GALNT3","GALNT4","GALNT5","GALNT6","GALNT7","GALNT8","GALNT9","GALNT10","GALNT11","GALNT12","GALNT13","GALNT14","ST3GAL1","ST3GAL2","ST3GAL3","ST3GAL4","ST3GAL5","ST3GAL6","ST6GAL1","ST6GALNAC1","ST6GALNAC2","ST8SIA1","ST8SIA2","ST8SIA3","ST8SIA4","ST8SIA5","B4GALT1","B4GALT2","B4GALT3","B4GALT4","B4GALT5","B4GALT6","B4GALNT1","B3GALT4","B3GALT5","B3GALNT1","B3GNT2","B3GNT3","B3GNT4","B3GNT5","B3GNT6","B3GNT7","B3GNT8","B3GNT9","FUT1","FUT2","FUT3","FUT4","FUT5","FUT6","FUT7","FUT8","FUT9","FUT10","FUT11","MGAT3","MGAT4A","MGAT4B","MGAT5","MGAT5B","GCNT1","GCNT2","GCNT3","GCNT4","GCNT7","UGCG","A4GALT","C1GALT1","C1GALT1C1"
"BRCA","260.5062"," 36.9187"," 44.9985","  0.0581"," 18.7737"," 27.7445"," 56.9722","  0.7061","  0.0217"," 82.5115"," 28.1052","  5.1882","  2.1672","  0.8643"," 28.5590","  8.2032","  0.2252"," 21.3849","  5.9024","  6.1699"," 38.5128","  0.5528","  8.0772","  1.9227","  1.0162","  0.0000","  8.4707","  0.0399","257.3112"," 46.7427"," 77.1332"," 26.2819"," 45.8514","  3.4790","  1.2693"," 13.8248","  1.4421"," 15.5918"," 61.6122","  1.0169","  0.5499","  2.4645","  0.0000","  2.8803","  3.6730"," 26.2274","  1.5129"," 10.0405","  0.7044","  4.9315","  0.0000","  0.1722","  0.4706"," 48.4832","  0.2735","  9.2454"," 24.1089","  2.2700"," 41.0739"," 39.8853"," 33.9113","  0.4374","  7.2546","  5.3219","  0.0966","  1.8611","  0.5306"," 61.3147"," 18.0756"," 12.8403"," 80.6417"
"LUNG"," 74.4171"," 28.1942"," 56.1595","  0.4250"," 16.2983"," 79.1481"," 25.3860","  0.0861","  0.1058"," 44.7317"," 52.1104","  4.3616","  0.5170"," 14.5244"," 17.3408","  6.5058","  1.3024"," 15.8420"," 55.4267","  9.9491"," 48.2049"," 20.8254","  6.1502","  1.6330","  0.4956","  0.0074"," 17.1101","  0.0535"," 76.1366"," 21.1784"," 34.0080"," 13.0357","109.4139","  2.8757","  1.4411","  7.4841","  0.0639","  3.9630"," 57.3728"," 51.3300","  5.8493"," 13.1176","  6.6821"," 35.8715","  9.3228","  8.7248"," 17.5141"," 48.5600"," 34.8457","  5.9306","  0.0766","  6.0470","  1.6066"," 57.1209","  0.2445"," 11.2649"," 28.2243","  1.3574"," 25.6842"," 44.9563"," 56.4207","  0.0474","  7.0924","  6.2654","  1.2723","  1.4781","  3.6224"," 86.9503","  4.2486"," 22.6826"," 45.8261"
"UTERINE"," 39.3684"," 20.5316"," 37.7962","  0.2250","  0.3675"," 13.0409"," 17.5647","  0.1459","  0.3922"," 10.7447"," 12.6520","  1.9903","  0.1703","  0.2976"," 20.9447"," 11.3324","  1.6200","  4.6477","  3.4941"," 13.2972"," 16.8575"," 18.9356","  1.1572","  1.2216","  0.0552","  0.0000","  5.4085","  0.0361","106.0970"," 16.6384"," 27.1431"," 23.2368"," 54.1650","  1.3551","  0.9729","  5.4996","  1.6813"," 20.6408"," 41.6219"," 30.3128","  0.9761","  9.0579","  0.0000","  4.5732","  2.9314","  7.6540","  6.6407","  3.8230","  1.0654","  4.7733","  0.1217","  0.8893","  0.0972"," 31.3947","  0.0765"," 27.8127"," 16.5508"," 12.3781"," 88.3309"," 29.1975"," 59.5407","  9.5994"," 10.2870"," 47.2372","  1.0728","  4.1464","  7.2801"," 46.9996"," 14.6270"," 19.7157"," 26.6753"
"LUNG"," 95.7538"," 49.1680"," 32.6524","  0.2895","  5.8415","  7.9962"," 35.9821","  0.1319","  0.0000"," 31.8659"," 28.8470"," 23.1103","  9.5064"," 11.8867"," 30.9493","  5.6286","  4.8092","  9.9518"," 67.2242","  4.5088"," 71.5789"," 66.7583","  1.3306","  0.9889","  0.0167","  0.0000","  8.4182","  0.0249","115.0173"," 25.2290"," 37.0922"," 10.5262"," 75.5147","  2.4972","  0.4817"," 18.2082","  0.0544","  4.1384"," 25.1148"," 14.4609","  1.4768","  9.5808","115.3831"," 30.5746"," 15.6485"," 17.8122","  6.7299"," 15.3877","  5.9227","  3.7626","  0.0000","  0.1502","  0.5276"," 67.2460","  0.3619"," 16.5424"," 12.3044","  1.7503"," 23.3759"," 63.2607"," 48.8077","  0.1513","  4.5391"," 41.7994","  7.8681","  2.1691","  7.4108"," 50.7505","  2.7272"," 18.8260"," 33.1939"
"LUNG","52.7900","22.8281","13.4141"," 0.2683","13.2962"," 6.4773"," 8.3922"," 0.1413"," 0.0601","11.2708","24.8506"," 4.5033"," 2.4515"," 7.2627","17.1239"," 5.6495"," 1.5603"," 3.3932"," 4.1991"," 4.1594","58.1401","33.2176"," 7.8781"," 2.5542"," 0.0823"," 0.0000","12.8556"," 0.0522","44.4186","18.8460","19.9106","20.7473","34.7226"," 2.7687"," 0.1710","10.1629"," 2.3581"," 5.9654","26.2315"," 0.2261"," 1.3438","13.3622"," 0.0917"," 3.9047"," 1.5165","10.0897"," 1.1756"," 6.5391","36.9502"," 3.4183"," 0.0725"," 3.8601"," 0.9564","30.0629"," 0.0175"," 5.7475","12.1860"," 4.2101","18.3600","20.5027","28.3231"," 0.0449"," 5.0765"," 1.6908"," 1.0338"," 1.2525"," 3.4772","50.3079","11.7620","11.0487","24.9626"
"LUNG"," 82.8188"," 48.6593"," 40.1958","  0.5497"," 13.2684","  8.5096"," 24.4682","  0.0954","  0.2542"," 28.4598"," 38.8482","  7.3245","  3.2265"," 11.4554"," 25.9739","  8.7663","  2.1383"," 14.3168"," 16.0947"," 12.2631"," 23.4569","  0.4566","  2.2305","  1.1826","  1.0362","  0.0137"," 11.2332","  0.0360","125.9251"," 27.4493"," 37.7066"," 16.4410","128.6397","  1.8730","  0.7238"," 12.3981","  0.2658","  8.6483"," 46.4474"," 33.7532","  3.0194"," 17.9313","  7.6765"," 29.5768","  8.3874"," 18.4690","  5.2908","  8.6308"," 36.2512","  5.7700","  0.0000","  1.6605","  0.4665"," 36.7175","  0.7804","  8.9924"," 31.3138","  1.2906"," 44.7076"," 32.4268"," 60.2718","  2.6057","  6.6744","  5.5594","  7.8365","  1.2219","  8.9472"," 74.4511"," 19.1639"," 28.5910"," 29.5505"
"KIPAN"," 13.5166"," 15.6771","  7.0087","  0.2303","  0.1410","  2.4157","  6.2734","  0.7346","  1.4191"," 13.0252"," 65.0176","  3.1578","  0.3034"," 72.9875"," 42.4803","  6.2271","  1.5502"," 14.5591","  2.0730"," 11.9185"," 50.4641","  0.1597","  3.3820","  0.4656","  0.1590","  0.0000","  2.2223","  0.5786"," 41.8374","  7.3366"," 14.9424"," 14.9723"," 39.7354","  2.1179","  0.1867","  4.7844","  0.2598"," 10.6197"," 32.7191","  3.4706","  2.6730","  2.6327","  0.0590","  1.7677","  2.3573","  6.6258","  3.1407","  1.9255"," 23.1581","  2.5710","  0.0389","111.6960","  0.1865","  6.1437","  0.0734"," 12.6648","  9.3316","  4.4045"," 31.1099"," 29.5619"," 33.3260","  0.3852","  2.2536"," 14.9629","  1.9148","  7.0204","  4.3557"," 43.2901"," 27.5570"," 11.2568"," 17.4035"
"KIPAN"," 24.1659"," 52.4543"," 12.4340","  0.3738","  0.1268","  4.4154"," 20.7117","  0.2097","  0.3974"," 37.2650"," 24.3624"," 30.8366","  0.1982"," 23.7041"," 32.0199"," 14.3561","  2.5120","  7.4798","  3.2774","  7.0920"," 10.9997","  0.1824","  0.9284","  1.9939","  0.0132","  0.1125"," 18.3148","  0.0296","145.3867"," 18.2942"," 17.1959"," 21.3386"," 78.9463","  2.8453","  2.2869"," 14.5349","  2.9954"," 14.5512"," 28.9484","  4.1661","  2.0750","  8.1757","  0.0884","  6.5316","  3.8008"," 29.2838","  0.6596","  1.9693","  0.5728","  5.9162","  0.0389","  0.5284","  0.6988"," 11.9750","  0.0056","  5.8248"," 73.0356","  1.0030"," 43.2101"," 54.4698"," 45.9936","  0.5652"," 20.9978"," 15.6437"," 12.6007","  0.6974","  7.3145","231.1287"," 39.5408"," 47.2019"," 62.6480"
"UTERINE"," 98.0245"," 28.6477"," 50.0668","  1.0159","  2.5748"," 16.4402"," 49.0115","  0.0329","  0.0405"," 26.0316"," 19.8891","  8.4089","  0.1757"," 11.0482"," 22.4040","  6.4294","  0.8776","  2.3244","  2.2061"," 13.6180"," 27.7300","114.7773","  5.1752","  0.5137","  0.0249","  0.0000","  4.1362","  0.1210","561.9816"," 25.7124"," 18.3378"," 37.7322"," 92.5866","  2.2819","  0.0832","  3.4233"," 17.2172"," 11.4410"," 55.4374","  6.0848","  0.8813","  5.2875","  0.0000"," 11.2044","  1.1287","  8.0173","  4.3162"," 12.5124","  2.8622","  2.7567","  0.0000","  1.3650","  0.0878"," 25.1249","  6.6781"," 12.9456"," 17.2239"," 18.0173"," 18.1892"," 37.3918"," 64.9748","  0.0340"," 70.4471"," 16.8083","  8.8864","  1.0041","  5.1948","108.1542"," 33.2329"," 21.1131"," 59.3836"
"LUNG"," 76.7514"," 45.4429"," 17.7290","  0.0973"," 28.9892","  9.5758","  8.9882","  0.2957","  0.0909"," 23.9780"," 20.9448"," 10.8831","  3.8469","  0.6937"," 88.7569"," 10.0964","  1.8795"," 13.8219"," 11.8393","  8.9383"," 45.7635","  7.9471","  3.9277","  3.7902","  0.0224","  0.0127"," 23.9651","  0.0669","132.4298"," 11.0852"," 28.8293"," 11.0051","141.9708","  1.7778","  0.3156","  9.5835","  0.0823","  7.3920"," 52.8354","  1.3721","  0.6332"," 26.8150","  0.0000"," 31.9699","  4.7539","  7.5155","  8.8085","  1.2400","  2.1491","  4.6921","  0.0658","  0.4615","  0.9459"," 17.6723","  0.0095","  7.6444"," 35.0872","  9.3693"," 55.5399"," 28.4196"," 47.2628","  0.9361","  4.5885"," 11.4546","  1.0317"," 12.1571","  7.8709","277.1697"," 23.4089"," 19.4335"," 33.1152"
"LUNG","83.9859","30.1235","13.2431"," 0.1806"," 7.3355"," 6.6836","25.4744"," 0.5120"," 0.1012","29.1973","28.9979","15.6890"," 0.4026"," 2.8913","56.2321"," 9.6122"," 2.6207","12.4222","26.2925","11.0437","59.5688","34.5737"," 2.1594"," 5.1137"," 0.0970"," 0.0157","25.2778"," 0.0310","84.2407","13.5346","34.4117","10.8767","49.3524"," 2.0616"," 0.6061","15.2809"," 0.2094"," 5.6190","34.3222"," 5.7063"," 0.5340"," 7.6791","24.3460","10.5323"," 8.8640","11.0659"," 3.4703"," 5.7519"," 4.0658"," 5.1354"," 0.0000"," 0.2498"," 2.5840","40.8053"," 0.0590","11.4932","20.4673"," 6.2568","42.3650","27.3688","49.6903"," 0.1510"," 7.7080","18.1725"," 3.2282"," 4.3242"," 5.6925","88.1624"," 7.2633","17.7530","48.9406"
"LUNG","67.6423","23.2979","37.7877"," 0.2116","14.8370","26.5598","43.3707"," 0.3122"," 0.0677","39.7024","29.4254","21.6672"," 0.2696"," 4.5333","32.2848"," 7.5403"," 2.9833","11.7652","17.4280"," 9.8612","62.8453","59.1614"," 3.1444"," 6.3153"," 0.0417"," 0.0079","21.6664"," 0.0935","60.4986","10.6774","22.0902","15.5691","56.1277"," 3.2819"," 0.2063","16.7221"," 0.6820"," 6.8402","46.2514","11.4317"," 0.5899","12.7895"," 1.7043","14.3562"," 2.9093","11.2333"," 2.4545","18.5564"," 7.3810"," 5.5198"," 0.0000"," 7.9726"," 0.9303","38.8789"," 0.0711","13.0229","18.5053"," 4.3013","39.5300","23.5459","55.7409"," 0.3792","17.9355","11.5581"," 6.3079"," 7.9106"," 5.9927","86.7905"," 9.9355","26.4860","48.8784"
"KIPAN"," 39.6284"," 46.3997","  1.8570","  0.1776","  1.9621","  5.5629","  7.4094","  0.1766","  0.2533"," 15.6751"," 25.3175"," 17.6060","  0.2881"," 88.0196"," 38.0861"," 12.1091","  1.9137","  6.6947","  4.8014"," 16.8303"," 42.5115","  0.1024","  0.3476","  1.6211","  0.5054","  0.3875"," 30.7895","  0.2053"," 48.2748","  8.9628"," 24.7463"," 16.1896","136.3125","  2.8680","  3.3513","  7.2435","  0.1883","  5.4294"," 48.5739","  0.5339"," 14.9580"," 14.9515","  0.0331","  6.3325","  3.0162"," 20.2753","  2.3226","  1.0031","  0.3077"," 11.6682","  0.0000","  3.0058","  0.6279"," 21.2909","  0.0950","  7.0807"," 52.9344","  5.2575"," 40.0591"," 47.7125"," 41.1330","  0.1216","  7.1345","  7.0377"," 42.9691","  1.0641","  6.2354"," 59.3878"," 22.7884"," 13.5925"," 30.5894"
"PAAD","176.1202"," 35.6892","104.4986","  0.4131"," 86.0158","  7.4179"," 32.6414","  0.4248","  0.0119"," 32.2712"," 27.1803"," 21.2945","  3.4784"," 14.8109"," 54.3958","  8.2440","  1.5661"," 18.0814","  4.8972"," 11.8647"," 16.0716"," 40.3597","  0.7410","  1.4768","  2.5740"," 10.8893"," 13.8761","  0.0491"," 94.7482"," 23.1716"," 17.4632"," 33.7304"," 68.3075","  3.6603","  1.2582"," 18.9201"," 14.3281"," 16.0145"," 65.6861","127.3306","  0.9398"," 15.1843","  0.4887"," 13.8010","  3.2871"," 17.3836","  2.4428"," 33.3521"," 29.5279"," 13.6687","  0.0430","  5.7452","  0.7722"," 33.1139","  0.2368"," 10.8992"," 41.4493"," 28.7307"," 34.8495"," 50.8045"," 60.6851","  0.1993","  9.3408","  4.1156"," 13.3566","  6.7032","  2.8187"," 95.9162","  9.3506"," 47.7479"," 67.9531"
"KIPAN"," 36.1367"," 64.0830","  1.9123","  0.5296","  0.0067","  2.7572","  6.2096","  0.1815","  0.3652"," 19.2090"," 51.5382"," 10.0709","  0.0110","155.4336"," 25.3623","  9.7706","  1.2446","  3.2382","  4.5941","  2.6167"," 82.4100","  0.0646","  0.7064","  0.9291","  0.0125","  0.0000"," 18.7691","  0.0280"," 56.4602","  9.0610"," 19.3633"," 18.2614","199.9056","  2.5635","  0.1576","  5.7514","  3.9070"," 10.2546"," 36.6286","  0.4226","  8.2736"," 14.1849","  0.0557","  1.7684","  1.1707"," 19.9198","  1.0945","  0.4110","  0.8233","  8.1107","  0.0000"," 60.6997","  0.3520","  8.6485","  0.0213","  8.9045"," 55.4299"," 16.8770"," 26.6077"," 68.8042"," 20.6581","  0.0795","  5.3675"," 15.8223"," 32.2171","  3.3308","  6.1650","173.9605"," 38.1980"," 21.8175"," 52.6629"
"LUNG","92.5201","21.1335","28.7017"," 0.1540","64.7353"," 9.3183","16.4610"," 0.2406"," 0.1314","34.7574","26.7104","18.2944"," 2.9072"," 0.6817","44.4106","10.0397"," 1.9916"," 8.8209","26.7339","21.4175","47.0404","18.7295"," 5.1292"," 5.0951"," 0.0202"," 0.0000","29.8693"," 0.0151","57.7957"," 8.2687","16.3815","13.2887","52.4755"," 3.2145"," 0.2252","18.8312"," 0.4384","17.7912","75.8983"," 1.7966"," 0.6505","14.6217"," 0.1804","28.9036"," 7.5846"," 9.5125"," 4.4455"," 3.3982"," 3.8098"," 8.0150"," 0.0000"," 0.1825"," 1.2828","36.4371"," 0.0173","16.9780","24.4107","13.3607","65.5657","28.9487","50.2838"," 0.2024","15.7484","16.9135"," 1.0791"," 8.1930"," 5.5665","73.9931"," 7.6189","29.9430","57.5197"
"LUNG"," 89.0873"," 21.2284"," 32.2553","  0.2760","  9.7138","  4.0294"," 24.0420","  0.2549","  0.0330"," 16.0621"," 12.0928","  7.8860","  0.6624","  9.7571"," 23.6453","  4.3738","  1.4275","  3.0810","  3.3042","  7.5158"," 23.1764"," 51.4285"," 12.6337","  0.8948","  0.0508","  0.0058","  8.7357","  0.0910"," 39.0476"," 12.9929"," 19.0868"," 24.9760","117.0533","  4.5374","  1.8539","  9.3756","  0.2076","  6.7614"," 58.8011"," 15.2639","  1.3843"," 50.0221","  0.0226","  4.1003"," 11.1659"," 10.2083","  3.6957"," 29.5206"," 19.5220","  3.4241","  0.0000","  3.1804","  1.2161"," 59.1815","  0.0087","  7.5841"," 19.5537","  2.2591"," 17.2365"," 26.2448"," 29.3125","  0.2308","  7.7817","  5.3392","  7.7658","  1.4245","  5.4146"," 81.3912"," 58.0471"," 15.6396"," 33.4053"
"BRCA","82.9713","43.2031","31.4818"," 0.0188"," 1.7225","54.1548","61.5891"," 0.0228"," 0.0281","21.5869","18.3596"," 1.1512"," 0.3506","19.3904","36.8043"," 3.8127"," 0.1458","14.6546"," 2.8881"," 3.1879","98.0057"," 0.3577"," 1.3490"," 1.4750"," 0.1558"," 0.0000"," 8.4626"," 0.0258","89.8261","35.1714","57.4650","13.7489","93.1361"," 0.7441"," 0.5262"," 7.4057"," 2.0221","39.2475","89.6964","34.0759"," 0.4893","29.4812"," 0.0000"," 3.5611"," 1.6207"," 7.5687"," 2.2845","26.2009","61.6756"," 2.3894"," 0.0000"," 1.5826"," 1.4620"," 8.4174"," 0.1475"," 3.9129","10.9360"," 1.7488","29.9435","34.6557","19.0930"," 0.3617","15.0257"," 8.6104"," 3.0016"," 0.9463"," 0.4905","43.0721"," 4.7032"," 4.2330","37.2932"
"COADREAD","106.6761"," 17.7724"," 82.1171","  0.0609"," 12.8883"," 26.0252"," 28.0255","  0.3703","  0.1366"," 15.6430"," 10.1098"," 10.1232","  0.1977","  1.4353"," 29.0271","  8.8227","  0.1181"," 10.7515","  1.2079","  2.8182"," 14.9618","  6.4743","  2.7693","  0.5891","  0.1122","  0.0106","  4.9148","  0.0209"," 66.4450"," 15.2725"," 15.6346"," 17.0466"," 64.7931","  9.3595","  0.2635"," 12.3956","  2.9411","  3.4288"," 90.6769"," 74.7413","  0.4566"," 16.5055","  0.5415","  8.7473"," 11.4406","  3.6840","  6.0952"," 54.6122"," 87.4316"," 12.2944","  0.0000"," 22.7346","  0.1316"," 14.8336","  0.0080","  7.7371","  8.3733","  5.2530"," 23.2031"," 43.7147"," 68.5395","  0.0680","  7.2246","  0.8059"," 30.6741","  2.3052","  0.9539"," 40.1905"," 10.1633"," 28.0748","105.0301"
"BRCA","140.7766"," 65.8813"," 26.9448","  0.0218","  7.3685"," 30.1024"," 94.3205","  0.6877","  0.0650"," 16.5710"," 19.0625","  8.4034","  1.8001","  3.8852","  5.9714","  5.2919","  0.6569"," 25.6739","  9.6207","  5.7595"," 31.1995","  1.5876"," 10.5413","  2.0879","  0.7413","  0.0000"," 12.3775","  0.0673","103.1514"," 13.5581"," 29.7980","  9.8452"," 18.6155","  3.2029","  0.1040","  5.2035","  0.0982"," 14.2605"," 48.0456","  0.0423","  0.4120","  2.5100","  0.0000","  0.4187","  2.4391","  1.6917","  2.1589","  7.7304","  1.5079","  0.7737","  0.0000","  0.2064","  0.3526"," 69.8751","  0.0085"," 10.2470"," 14.1358","  0.7491"," 22.7693"," 31.9723"," 29.6184","  0.5461"," 16.2040","  6.0824","  0.1810","  1.6533"," 41.3392","120.4882","  7.5041"," 15.8623"," 20.3550"
"KIPAN"," 51.4553"," 12.9823","  3.6043","  0.2941","  0.3202","  3.2452","  5.8549","  0.5361","  2.8923"," 12.8749"," 61.1859"," 11.0598","  0.7684","162.5092"," 29.0413"," 11.7816","  1.4069","  8.4260","  5.6242","  9.8780"," 29.0103","  0.3886","  0.8206","  0.8018","  0.0000","  0.0085"," 61.7381","  0.1516"," 35.3999","  8.7464"," 21.5988"," 11.1925"," 61.9874","  2.4208","  0.5019","  8.5189","  0.1167"," 20.2274"," 68.7150","  1.2074","  2.4546","  7.5147","  0.1005","  1.1605","  2.2065"," 17.8432","  4.8010","  1.3271","  1.7262","  7.5070","  0.0000"," 16.0771","  0.6352"," 13.5827","  0.0256"," 14.4760"," 69.6862","  8.7082"," 67.4721"," 38.0253"," 50.3781","  0.3006","  8.6543"," 15.2128","  6.2900","  3.0652","  8.1841"," 96.6088"," 34.5574"," 15.2234"," 39.6098"
"LUNG","45.7652","24.8414","15.9264"," 0.1664","30.6843"," 6.4647"," 9.7568"," 0.3820"," 0.0276","22.2083","28.2810","13.9955"," 4.0932"," 2.4756","45.3992"," 9.5741"," 2.5958","15.8494","17.1716","10.3088","46.4528","15.6278","10.6803"," 5.0257"," 0.0000"," 0.0579","15.5502"," 0.0381","74.4962"," 7.7154","16.7148","10.5728","57.7359"," 2.5334"," 0.2525","16.2515"," 0.4103","22.0394","56.9084"," 1.1867"," 1.0281","13.9095"," 0.0000","31.4669"," 9.5109","11.3134"," 9.4689"," 2.4738"," 1.7295"," 8.5949"," 0.0500"," 0.3069"," 0.2396","18.7840"," 0.0000","16.0848","23.1493","17.5099","66.9085","26.6553","44.1344"," 1.8714"," 9.1704","16.9802"," 0.3229"," 4.9245"," 8.0082","68.6781","14.5296","17.2039","33.7599"
"COADREAD","193.8445","  5.9171","148.1330","  0.0318"," 18.2509","  6.8287"," 60.4600","  5.2749","  0.0119"," 13.6220"," 16.8172"," 22.4448","  0.0129","  0.0197","  1.7699","  1.9855","  0.0176"," 10.2531","  1.1188","  0.7489"," 11.7258","236.2225","  0.5419","  0.2069","  0.0146","  0.0000","  3.5837","  0.0109"," 23.0300"," 22.2956"," 19.9841"," 19.7988"," 29.4811","  4.8084","  0.1085","  6.5523","  0.4604","  0.6353"," 50.0693"," 49.3468","  0.0000"," 28.6507","  3.7493","  2.2115"," 11.7869","  1.8061","  1.3405"," 24.6387"," 23.3520"," 19.3443","  0.0000","  9.0478","  0.2061"," 40.7334","  0.0000","  9.9268","  3.6680","  1.5233"," 23.6072"," 23.4954"," 10.5102","  0.0133"," 22.6647","  0.6029"," 26.9431","  4.9326","  0.0415"," 32.6938","  0.8414"," 34.0896","106.9239"
"KIPAN"," 67.3228"," 32.8493"," 25.8848","  0.3136","  1.4256","  9.0928"," 18.0845","  0.7835","  2.9284"," 26.1029"," 44.3211","  8.0017","  0.4804"," 73.5023"," 61.7954"," 13.4314","  3.3289","  6.6570","  4.3057"," 14.0711"," 48.7999","  0.1934","  3.9381","  2.3387","  0.2085","  0.0000"," 21.2348","  0.5029","111.1324"," 16.3409"," 31.1632"," 10.4864","128.0040","  3.1653","  0.3806"," 14.3220","  1.3957"," 12.5087"," 51.7543","  6.0315","  1.1543","  9.8620","  0.0000","  9.4627","  2.8539"," 10.7301","  4.2560","  3.1914","  0.9356"," 12.8376","  0.0000","  3.1400","  0.9597"," 26.5503","  0.1709"," 11.2311"," 19.7942","  2.9660"," 79.6499"," 45.1976"," 49.0492","  0.2623","  7.7995","  9.5454"," 16.0677","  6.6336"," 10.6374","355.2985"," 55.9666"," 22.1863"," 42.1392"
"LUNG","66.9792","30.5324","66.9117"," 0.1787"," 2.3113"," 9.1158","16.8364"," 0.0651"," 0.0801","10.5247","34.2736","11.7927"," 0.5506","13.6675","49.3306"," 8.7487"," 6.3927","10.3941"," 1.1098"," 5.2031","14.2241"," 2.1251","12.7255"," 2.5912"," 0.5099"," 0.0000"," 5.2104"," 0.0246","18.4552","25.6920","23.6484","11.7460","45.8919"," 6.7645","16.8591"," 9.1140"," 0.0336"," 1.9698","56.4769"," 0.6950"," 2.6213","70.6567"," 0.0366"," 2.9881"," 1.1810"," 7.8705"," 2.4151"," 2.1061"," 7.3973"," 5.1139"," 0.7729"," 0.5508"," 0.1158","32.6502"," 0.0000","11.0850","11.9184"," 7.9787"," 9.4668","20.0158","65.3548"," 0.5829"," 1.9243","26.9183"," 0.4755"," 0.7032"," 3.6365","31.5206"," 7.9090","15.6601","77.3322"
"BRCA","178.9032","  8.5971","144.0913","  0.0000","  8.8927"," 26.9174"," 94.9801","  0.0000","  0.0000"," 64.8829"," 23.9683","  1.5216","  1.7371","  0.7588","  9.7670","  2.5237","  0.2151","  2.5516","  6.4396"," 21.2091"," 38.4339"," 15.9023","  0.5912","  1.3567","  0.3034","  0.0000","  8.6493","  0.0324","128.4018","  4.1469"," 19.8140"," 16.5266"," 38.2298","  4.1572","  0.6107","  3.3770","  0.0531"," 14.0297"," 98.5254","  1.5566","  0.2785","  3.6510","  0.0000","  1.4631","  0.0000","  3.9411","  0.4962","  0.3749"," 28.7058","  2.1550","  0.0000","  0.1675","  0.0763"," 24.6599","  0.2124","  3.8768"," 12.4325","  0.5037"," 53.2815"," 12.2733"," 17.5006","  0.0394","  3.4807"," 17.8825","  0.3719","  1.1419","  0.4914"," 77.4724","  1.3591"," 11.6447","101.8091"
"KIPAN"," 39.5627"," 30.8510","  2.7404","  0.1342"," 23.1463","  3.6004","  7.3154","  0.1305","  2.2657"," 15.6927"," 58.5388"," 15.3403","  0.1850","275.0171"," 25.8165","  7.4906","  0.8287","  5.4672","  4.4428","  6.4480"," 64.5801","  0.1277","  0.4574","  0.7585","  0.0000","  0.0000"," 36.8674","  0.0092"," 35.0147"," 18.2532"," 21.9978"," 15.0793","114.1799","  0.5857"," 14.0735","  5.0729","  1.2265"," 13.7223"," 56.8781"," 24.2215","  6.2239","  8.7617","  0.0000","  1.9861","  1.6198"," 14.6847","  1.9803","  1.0688","  0.5579","  4.3299","  0.0000"," 24.3615","  0.3914"," 11.5828","  0.0000","  8.8680"," 58.8897"," 31.1365"," 66.9629"," 61.2118"," 36.5942","  0.1010","  4.3750"," 18.8082"," 19.3294","  1.6091","  6.0228","124.4167"," 26.1931"," 18.0381"," 51.5266"
"COADREAD"," 51.2317"," 11.4336"," 55.3957","  0.0593"," 18.7935","  7.3545"," 26.3919","  7.6095","  0.1180","  9.3940"," 12.6025"," 13.9759","  0.2242","  0.1714","  7.5940","  7.0073","  0.1203"," 10.7042","  1.1158","  2.1821"," 37.1732","174.0794","  0.3543","  0.4260","  0.0364","  0.0000","  5.6096","  0.0136"," 38.0618"," 17.8440"," 35.4093"," 21.1420"," 67.0803","  2.1048","  0.2292"," 10.6140","  1.6416","  2.9122"," 39.8076"," 42.4075","  0.0234"," 11.4808","  1.6202","  4.4136"," 14.7571","  3.9365","  3.4777"," 27.9360"," 39.2409"," 14.5354","  0.0000"," 11.9666","  0.3200"," 18.2661","  0.0000","  3.9113","  6.9758","  3.4542"," 25.6087"," 57.3923"," 16.1519","  0.0330"," 13.0498","  0.4264"," 78.4266","  0.8135","  0.6184"," 39.4995","  5.0997"," 31.7739","225.4362"
"BRCA"," 95.7262"," 57.9538"," 64.6289","  0.0794","  7.2355"," 34.9168","161.8020","  0.1287","  0.1186"," 24.9164"," 31.9670","  4.5466","  1.6095","  2.4606","  2.4633","  5.5574","  1.3191"," 17.7133","  8.9271"," 12.3525"," 27.6545","  3.4832","  7.8333","  1.4761","  1.9490","  0.0000","  4.5427","  0.1637"," 73.9957"," 24.6647"," 30.7753","  7.0158"," 20.4935","  4.6199","  1.3551","  9.0393","  0.5773"," 12.7640"," 30.6074","  1.9044","  1.3463","  2.4031","  0.0000","  3.4465","  8.2895","  3.1120","  3.1503"," 19.8119","  2.1545","  1.2231","  0.0000"," 10.6058","  0.6003"," 59.2671","  0.0311"," 12.5139"," 24.1342","  3.2005"," 26.9479"," 46.2441"," 25.1542"," 16.2265"," 11.9549"," 19.5172","  0.0220","  5.7647"," 27.8271"," 65.9700"," 18.8865","  9.0942"," 22.3080"
