".id","GALNT1","GALNT2","GALNT3","GALNT4","GALNT5","GALNT6","GALNT7","GALNT8","GALNT9","GALNT10","GALNT11","GALNT12","GALNT13","GALNT14","ST3GAL1","ST3GAL2","ST3GAL3","ST3GAL4","ST3GAL5","ST3GAL6","ST6GAL1","ST6GALNAC1","ST6GALNAC2","ST8SIA1","ST8SIA2","ST8SIA3","ST8SIA4","ST8SIA5","B4GALT1","B4GALT2","B4GALT3","B4GALT4","B4GALT5","B4GALT6","B4GALNT1","B3GALT4","B3GALT5","B3GALNT1","B3GNT2","B3GNT3","B3GNT4","B3GNT5","B3GNT6","B3GNT7","B3GNT8","B3GNT9","FUT1","FUT2","FUT3","FUT4","FUT5","FUT6","FUT7","FUT8","FUT9","FUT10","FUT11","MGAT3","MGAT4A","MGAT4B","MGAT5","MGAT5B","GCNT1","GCNT2","GCNT3","GCNT4","GCNT7","UGCG","A4GALT","C1GALT1","C1GALT1C1"
"LUNG","45.5965","26.0393","18.7071"," 0.3521","36.8108"," 6.6990","10.5728"," 0.4963"," 0.0421","25.1367","27.8622","12.9827"," 5.7211"," 1.3093","46.9137","11.2062"," 1.2790","18.0496","14.9905","11.7590","34.0726","13.1977","12.3026"," 4.6550"," 0.0130"," 0.0588","14.4742"," 0.0290","76.6574"," 9.4380","22.9459"," 8.4757","63.8876"," 2.3869"," 0.2404","19.8489"," 0.1695","18.1635","79.9214"," 1.0681"," 1.0496","31.1559"," 0.2888","48.2235","15.9038","14.3702","12.3280"," 1.9066"," 3.4881"," 6.9591"," 0.0000"," 0.3840"," 0.8670","22.2530"," 0.0331","11.9517","21.9733","32.5537","49.2433","29.9067","38.3032"," 1.0130"," 7.9517","17.1638"," 0.1874"," 6.4572"," 6.5034","72.0172","13.3922","21.4836","36.5760"
"COADREAD"," 75.5164"," 17.4514"," 31.3339","  0.2849"," 25.2778"," 11.2774"," 28.3854","  0.5936","  0.6993"," 34.1238"," 15.9873","  9.8658","  0.3631","  0.2271","  7.8867","  8.6823","  0.1972","  5.0920","  1.7751","  3.5731"," 18.9744","  4.0663","  0.8032","  0.6432","  0.0562","  0.0000","  5.2610","  0.0280"," 57.8877"," 22.6725"," 24.0043"," 13.8329"," 80.5151"," 11.3811","  0.7364","  5.0049","  1.2859","  4.0103"," 47.1892"," 64.6342","  0.9871"," 13.1247","  0.0000"," 11.6855","  5.0295","  7.4633","  3.5834"," 15.1057"," 23.7595"," 19.5173","  0.0000","  7.4319","  0.5935"," 23.2203","  0.0000","  6.8061","  9.3018","  7.7242"," 20.7229"," 74.6337","148.5343","  0.0340"," 12.2380","  2.0305"," 21.4591","  1.6764","  1.2213"," 38.3242","  5.3526"," 26.7472"," 49.4035"
"BRCA","73.6567","37.0553","36.7807"," 0.0793"," 3.5220"," 8.4262","27.6813"," 0.2569"," 0.0000"," 8.3659","25.7227","16.0926"," 0.5357"," 2.7520"," 2.4920"," 4.1329"," 0.9074","15.2533"," 7.1245","12.4029","12.6835"," 2.1792"," 7.0637"," 1.7098"," 4.5006"," 0.0000"," 4.4633"," 0.0272","44.4156","22.0808","22.7559"," 4.5619","35.5639"," 9.2267"," 1.1908"," 5.9574"," 0.6858"," 5.6992","39.0759"," 3.9061"," 0.6566"," 5.9904"," 0.0000"," 2.3074"," 6.3032"," 1.5801"," 2.2611"," 5.8930"," 0.6866"," 1.3388"," 0.0000"," 2.6320"," 0.0856","36.8643"," 0.0726","10.8139","14.8240"," 5.4330","10.9587","31.3121","24.2579"," 0.6853","10.6456"," 9.1896"," 0.0440"," 4.5471","17.7895","55.1253","12.4601","10.3812","11.4136"
"KIPAN"," 55.3092"," 30.6600","  7.7572","  0.4181","  5.0886","  5.2665","  8.5471","  0.1588","  3.2790"," 13.2646"," 43.9524","  6.8662","  0.0847","132.4427"," 26.6399","  9.7315","  1.0925","  8.5903","  4.1779"," 17.2969"," 25.6540","  1.4708","  0.5624","  2.7493","  0.0120","  0.0068"," 38.4986","  0.2873"," 37.0866"," 11.3909"," 20.0564"," 14.3360"," 57.8214","  4.9720","  0.7403"," 15.1708","  0.2260"," 15.3195"," 64.5193"," 13.0336"," 11.3130","  8.3296","  0.0000","  6.1671","  3.5664"," 15.8563","  2.4136","  1.5190","  1.3351","  8.9753","  0.0000"," 22.1648","  1.0159"," 16.3877","  0.0461","  8.1042"," 58.8521","  9.6613"," 58.5456"," 56.2553"," 35.7655","  0.1967"," 17.1942","  8.3080","  1.4883","  2.1521","  6.3739"," 59.3217"," 23.9671"," 25.7764"," 43.5414"
"PAAD"," 69.6937"," 17.7522"," 34.3370","  0.4291","  5.1623"," 23.9108"," 20.0841","  3.9400","  0.2760"," 20.2105"," 15.3414"," 27.7740","  0.4349","  3.8268"," 10.4557","  8.1803","  1.1485","  4.1124","  3.5794","  4.2871"," 16.1872"," 64.1654","  1.3042","  2.2912","  0.0439","  6.4222"," 10.0812","  0.0983"," 20.3460"," 14.6854"," 15.8893"," 21.3090"," 38.2088","  7.5362","  0.6021"," 14.5466"," 48.3747","  3.3915"," 38.6588"," 61.2173","  0.8883"," 25.1129","  6.1349"," 15.5390"," 13.9397","  5.6298","  2.0690"," 56.7047"," 29.2948"," 19.5021","  0.0000"," 13.2410","  0.2317"," 27.2250","  0.0187"," 12.9452","  8.4189"," 32.3527"," 62.8055","121.4888"," 72.4444","  0.1296"," 40.9139"," 19.3109"," 56.3843"," 35.4846","  5.6597"," 71.1551"," 10.7229"," 20.7920"," 30.3171"
"KIPAN"," 44.6629"," 22.0267","  4.3213","  0.4676","  0.4582","  2.9705","  5.9344","  0.3078","  6.6223"," 12.9854"," 73.4385","  8.8485","  1.9749","184.5571"," 28.6488"," 10.5515","  1.6077","  6.2123","  4.6153","  9.4110"," 26.2449","  0.9578","  0.8388","  1.4489","  0.0000","  0.0102"," 67.6922","  0.2544"," 39.3247"," 12.3676"," 24.0864"," 18.1228"," 85.4804","  2.0961","  0.8912"," 12.0672","  0.0659"," 20.7940"," 78.2793"," 13.1485","  4.9327","  9.8014","  0.0000","  1.2110","  2.0156"," 19.6099","  7.1753","  1.0241","  3.3748","  8.2775","  0.0000"," 36.7300","  0.3788"," 10.7390","  0.0841"," 10.1576"," 81.7866","  6.7242"," 52.5921"," 50.5425"," 33.9129","  0.0978","  5.5802"," 11.6973","  3.5158","  4.1192","  7.5235"," 77.0783"," 35.0576"," 19.8696"," 40.7969"
"LUNG","39.7552","25.0615","11.3429"," 0.2708"," 6.6166"," 4.4289"," 7.2332"," 0.3065"," 0.0907"," 9.8371"," 8.9929"," 2.4940"," 0.3862"," 3.9711","24.5099"," 5.3931"," 0.8456"," 6.6640"," 3.5050"," 4.1111","46.9117"," 5.8645"," 4.1212"," 0.7535"," 0.0860"," 0.0049"," 9.4121"," 0.0160","47.7655","14.2183","23.8404"," 8.4493","32.5698"," 1.3459"," 0.2359"," 6.7198"," 0.0808"," 2.7283","18.9454"," 5.3398"," 0.6077","18.4767"," 0.0958"," 6.0119"," 2.8984"," 7.2405"," 3.7056"," 3.3469"," 6.6162"," 2.1664"," 0.1010"," 0.3654"," 0.4539","27.8353"," 0.0147"," 5.5010","11.4166"," 2.5542"," 7.3278","11.8615","15.7677"," 0.0547"," 3.4793"," 3.8414"," 0.8465"," 0.9317"," 3.6306","46.3501","18.5414"," 8.5535","16.0224"
"COADREAD"," 49.9426"," 18.2056"," 46.3806","  0.1919"," 11.7924"," 24.2508"," 13.0873","  0.4145","  0.0159"," 17.3689"," 11.4274"," 17.2963","  0.7433","  1.1100"," 10.0120","  7.8105","  0.2715","  5.3915","  1.0987","  2.5195"," 26.0265","  6.8624","  0.2677","  0.3329","  0.1374","  0.0000","  4.9377","  0.0073"," 57.8928"," 21.3154"," 31.1054"," 12.7976"," 82.3687","  3.8729","  0.2183","  5.6308","  1.8921","  3.5545"," 30.3566"," 62.1890","  0.3279"," 10.1590","  0.2623","  1.0095"," 10.6592","  6.6280","  8.9081"," 24.3795","109.2620"," 38.0838","  0.0000"," 15.7971","  0.8289"," 13.1817","  0.0000","  9.4339","  9.0442","  3.2324"," 15.9763"," 87.8921"," 34.9052","  0.0713"," 10.0517","  0.3731"," 11.2213","  0.5073","  2.0580"," 28.5557","  6.5298"," 22.4344"," 69.8456"
"KIPAN"," 29.8148"," 26.8330"," 10.1733","  0.1221","  0.4359","  3.0046","  8.4592","  0.3604","  5.9938"," 16.3418","142.5669","  4.4504","  0.9901","108.1192"," 77.3055","  6.7764","  1.1544"," 17.8667","  2.8123"," 20.5256"," 48.1725","  0.0553","  4.8813","  0.5708","  0.1606","  0.0000","  1.6473","  0.6113"," 57.0971"," 10.2311"," 16.3479"," 20.2977"," 47.4444","  7.1167","  0.1548","  5.4811","  0.1902"," 18.4599"," 62.3598","  6.5472","  2.9096","  4.3007","  0.0000","  1.7811","  1.4536"," 10.6032","  2.4873","  1.1113"," 23.7176","  4.7595","  0.0000"," 85.8062","  0.2261"," 12.5227","  0.2258"," 15.5440"," 13.1412"," 12.2995"," 62.4569"," 40.5651"," 41.1745","  0.2626","  3.8280"," 19.8961","  2.9880","  8.1418","  4.3235"," 55.8009"," 22.8261"," 27.1784"," 42.4989"
"GLIOMA"," 43.5366"," 40.5274","  2.7651","  0.2798"," 35.4574","  3.5837"," 19.8645","  1.1813","  1.0231"," 29.0372"," 38.9165","  5.4858"," 10.1984","  1.3875"," 17.9631"," 15.4056","  3.0870","  8.8724"," 25.3586"," 10.4935"," 21.0758","  0.5371","  1.6379"," 23.6228","  0.0813","  0.5377"," 24.2122","  3.2435"," 25.5932"," 17.6961"," 21.9163"," 19.2365","121.9829","  5.3359","  3.2072","  8.8193"," 10.0802"," 21.0036"," 22.4688","  0.0286","  2.3172"," 15.3147","  0.1208","  7.7585","  2.4122"," 20.7512","  0.7122","  2.6506","  0.2296","  6.4267","  0.0000","  0.0175","  0.3340"," 35.0036","  8.1161"," 17.5575"," 18.7759","  4.5071"," 37.9743"," 40.1223"," 45.9914","  6.9353","  6.7210","  6.4356","  0.3429","  3.0596","  7.1852"," 53.1199","  5.6209"," 31.9144"," 30.7488"
"LUNG"," 88.5159"," 29.1068"," 97.7901","  0.3763"," 96.7358"," 35.1038"," 34.2485","  0.1039","  0.1661"," 53.5142"," 17.2928"," 56.0339","  0.6519","  0.2969"," 34.7649","  5.2837","  0.8288"," 13.5337"," 13.2005"," 21.7970"," 34.7292","293.3083","  4.6024","  0.9731","  0.2992","  0.0178"," 14.8446","  0.0235"," 72.5816"," 11.1771"," 21.4528"," 29.9212"," 76.8362","  1.7012","  0.3153"," 21.2651","  6.2268"," 13.3875"," 61.8576","168.4521","  0.4047"," 15.0550"," 18.1694"," 55.5089","  5.0134","  9.4769","  7.7624"," 62.9594"," 32.7080"," 15.1717","  0.0000","  1.3993","  1.4964"," 42.6747","  0.2013"," 12.7018"," 23.9953"," 25.6806"," 34.4217"," 42.3588"," 45.9235","  0.0715"," 19.3659"," 10.7478"," 46.9225","  9.3613","  2.2760"," 98.9873","  8.7227"," 31.2484"," 61.8990"
"KIPAN"," 23.1594"," 17.8116"," 14.3656","  0.2114","  0.0876","  3.1697"," 12.0126","  0.4544","  3.5461"," 17.5830","121.7623","  6.7472","  0.5932","121.6885"," 82.2568","  8.5077","  1.4990"," 19.0896","  3.0508"," 21.6642"," 75.5811","  0.2320","  3.6162","  0.8523","  0.2245","  0.0000","  1.8267","  0.7038"," 45.4370"," 10.3995"," 15.7316"," 23.0897"," 66.2265","  6.0224","  0.1776","  9.1065","  0.3607"," 18.6275"," 62.6830"," 10.0227","  2.5195","  4.2454","  0.0000","  1.1789","  2.0556","  8.8779","  2.5803","  1.5536"," 14.3895","  3.8579","  0.0000","105.0499","  0.1580"," 15.0348","  0.3635"," 16.3598"," 15.0032"," 11.5692"," 71.5030"," 50.5213"," 48.0940","  0.2720","  2.9243"," 23.2481","  3.1769"," 12.2305","  5.3445"," 71.8097"," 29.0958"," 25.8938"," 40.7234"
"UTERINE","113.5874"," 31.8159"," 32.9207","  1.0073","  5.0087"," 13.0538"," 40.9797","  0.0260","  0.1121"," 40.6622"," 36.8318"," 12.5399","  0.1043","  3.8789"," 18.9049","  9.5929","  2.5280","  3.4650","  4.9705","  3.7259"," 27.7393"," 84.4513"," 11.9179","  0.5020","  3.6498","  0.0000","  2.2751","  0.3682","437.3881"," 29.0215"," 27.3545"," 36.4995"," 72.1991","  5.6118","  0.1902","  7.8567","  4.6426","  5.9802"," 58.6138","  0.6252","  1.7241","  9.9431","  0.0000","  8.2776","  1.3549"," 19.9043","  2.9763"," 17.3065","  1.6334","  5.7144","  0.0579","  0.3811","  0.1389"," 29.4318","  0.6389"," 18.3402"," 19.3797"," 16.9060"," 14.4563"," 51.8352"," 62.4655","  0.1076","165.7248"," 18.4433","  4.3128","  2.1772","  6.0949","128.6023"," 25.5362"," 17.2827"," 41.4918"
"LUNG"," 75.9032"," 41.1319"," 30.9569","  0.9494"," 12.2208"," 37.6678"," 76.1402","  0.1648","  0.0304"," 25.9284"," 26.3763"," 16.9102","  0.1980"," 17.5032"," 23.7798"," 10.2832","  2.0693"," 20.7161"," 14.9439","  3.5079","125.5669"," 62.8447","  3.0656","  0.8119","  0.0499","  0.0354"," 16.2870","  1.3561","175.5269"," 27.1762"," 33.7032"," 16.2112"," 46.8212","  7.7775","  0.5371","  9.2650"," 15.1343"," 10.9708"," 27.9486"," 34.8974","  4.8457"," 15.9293","  4.5058"," 60.7958","  5.4955"," 15.5161","  6.0544"," 37.2649","  7.2123","  5.5210","  0.0000","  5.8695","  0.2197"," 22.1128","  0.0106"," 12.7442"," 16.9214","  2.1953","142.6372"," 32.3526"," 26.4075","  5.7179"," 32.1812"," 22.3153"," 33.8241","  0.5214","  6.6528"," 58.8536"," 13.0287"," 14.6304"," 48.1542"
"KIPAN"," 19.4403"," 20.2530","  9.2447","  0.1984","  0.1250","  3.1883","  6.0531","  0.1894","  2.8366"," 13.5579"," 78.5487","  5.5913","  1.0915"," 98.2761"," 80.3019","  6.1230","  1.2673"," 31.2146","  2.4061"," 17.2918"," 48.4508","  0.1123","  5.5155","  0.2898","  0.1696","  0.0074","  0.8302","  0.4236"," 58.9410"," 11.1553"," 17.2023"," 14.5442"," 38.1673","  5.2920","  0.1064"," 10.0338","  0.0746"," 14.0968"," 50.2811","  5.2356","  4.2241","  3.7189","  0.0000","  1.3839","  2.6873"," 10.4203","  3.7773","  0.7673"," 15.6580","  3.3750","  0.0383","100.2413","  0.0918","  7.7987","  0.1890"," 12.2399","  9.2492"," 10.5049"," 47.8750"," 48.9473"," 45.8423","  0.0593","  2.0620"," 18.0381","  1.1311","  8.7532","  4.2144"," 27.0826"," 35.7426"," 16.2166"," 25.1950"
"OV"," 79.8343"," 18.2827"," 35.4299","  0.0000","  3.7462"," 23.4283"," 22.5428","  0.0907","  0.3343"," 11.8068"," 14.8432","  5.4558","  0.6049","  4.9704"," 22.1792","  7.4198","  0.1343","  6.6703","  4.2326"," 18.1429","116.4321"," 25.1653"," 15.7562","  0.7003","  0.1888","  0.0097"," 12.9580","  0.1153"," 90.8663"," 27.4920"," 28.1396"," 16.4548"," 78.7745","  3.8421","  0.5093","  7.2187","  0.3226"," 16.8702"," 49.4572","  9.8285","  0.2206","  6.8969","  0.0000","  8.5274","  1.8756","  6.6157","  1.8267","  5.3168","  1.4213","  2.8011","  0.0000","  0.0221","  1.6314"," 34.8233","  0.0293","  4.8988"," 10.0527","  4.3542"," 18.5092"," 66.5965"," 22.6400","  1.9654","  6.0574","  1.9040","  0.4342","  1.8091","  0.3892"," 67.7268","  4.6354"," 14.5734"," 75.4852"
"BRCA","158.2514"," 32.8283"," 24.2756","  0.0711","  8.3477"," 58.3063"," 49.1344","  0.0000","  0.0177"," 17.6408"," 33.0411","  5.1188","  0.5957","  1.2338","  8.4187","  3.1951","  1.6338"," 15.9669","  4.1257"," 11.8312","  9.4256","  0.2630","  1.9978","  0.5903","  1.1779","  0.0000","  4.1327","  0.1303"," 88.7201"," 22.4571"," 33.3943","  6.1174"," 19.8626","  4.5454","  0.7118","  2.8057","  0.6595"," 12.8978"," 52.8459","  0.1843","  0.2803","  3.7693","  0.0000","  1.4377","  5.3794","  2.1252","  0.8521","  8.7940","  0.3284","  0.7161","  0.0000","  0.0281","  0.1536"," 64.4620","  0.3346","  7.6133"," 18.0334","  1.0360"," 44.3631"," 22.6186"," 31.0246","  2.8542","  9.5591"," 19.5212","  0.0000","  0.2169"," 22.0097","120.1187","  7.6002","  4.6459"," 18.6329"
"COADREAD"," 62.4032"," 13.8703"," 41.7787","  0.4372","  8.4471","  5.2664"," 21.5940","  1.0858","  0.2982"," 11.7224","  9.6087","  9.5378","  1.3718","  0.1885","  7.5626","  5.7982","  0.0842","  2.6784","  1.0048","  1.9209"," 37.1429"," 12.5992","  0.6479","  0.4029","  0.0000","  0.0000","  4.4812","  0.0261"," 37.8209"," 16.6674"," 15.6831"," 18.9107"," 78.3208","  6.6556","  0.3504","  2.7267","  1.2153","  5.5790"," 38.1303","128.4597","  0.5847"," 19.9935","  0.6627","  2.4472"," 23.2689","  4.8112","  4.8317"," 28.4286"," 85.5698"," 31.2371","  0.0000"," 19.1336","  1.4781"," 23.2426","  0.0000","  6.0879","  4.7180","  1.9097"," 22.6159"," 53.0899"," 53.6622","  0.0318"," 12.4259","  0.4436","  5.3109","  0.6263","  1.5374"," 24.5201","  3.9932"," 30.4199"," 57.8612"
